date,mainCategoryName,subcategoryName,timeSpent,currentLoggedInUser
8/5/2021,Skills,Programming,129.17,hhANBj74wiclvfuDLGfuDlFZgJ62
8/5/2021,Self Development,Reading,0,hhANBj74wiclvfuDLGfuDlFZgJ62
8/5/2021,Entertainment,SM/Anime/MM,85.89,hhANBj74wiclvfuDLGfuDlFZgJ62
8/5/2021,Sleep,Sleep,431.1385648,hhANBj74wiclvfuDLGfuDlFZgJ62
8/5/2021,Education,Studied/Revised,459.45,hhANBj74wiclvfuDLGfuDlFZgJ62
8/5/2021,Entertainment,Video Games,0,hhANBj74wiclvfuDLGfuDlFZgJ62
8/6/2021,Skills,English Comms,100.55,hhANBj74wiclvfuDLGfuDlFZgJ62
8/6/2021,Self Development,Exercise,0,hhANBj74wiclvfuDLGfuDlFZgJ62
8/6/2021,Skills,Programming,0,hhANBj74wiclvfuDLGfuDlFZgJ62
8/6/2021,Self Development,Reading,0,hhANBj74wiclvfuDLGfuDlFZgJ62
8/6/2021,Entertainment,SM/Anime/MM,87.11,hhANBj74wiclvfuDLGfuDlFZgJ62
8/6/2021,Sleep,Sleep,431.1016101,hhANBj74wiclvfuDLGfuDlFZgJ62
8/6/2021,Education,Studied/Revised,483.95,hhANBj74wiclvfuDLGfuDlFZgJ62
8/6/2021,Entertainment,Video Games,0,hhANBj74wiclvfuDLGfuDlFZgJ62
8/7/2021,Skills,English Comms,56.84,hhANBj74wiclvfuDLGfuDlFZgJ62
8/7/2021,Self Development,Exercise,0,hhANBj74wiclvfuDLGfuDlFZgJ62
8/7/2021,Skills,Programming,31.62,hhANBj74wiclvfuDLGfuDlFZgJ62
8/7/2021,Self Development,Reading,0,hhANBj74wiclvfuDLGfuDlFZgJ62
8/7/2021,Entertainment,SM/Anime/MM,147.52,hhANBj74wiclvfuDLGfuDlFZgJ62
8/7/2021,Sleep,Sleep,431.2633937,hhANBj74wiclvfuDLGfuDlFZgJ62
8/7/2021,Education,Studied/Revised,471,hhANBj74wiclvfuDLGfuDlFZgJ62
8/7/2021,Entertainment,Video Games,0,hhANBj74wiclvfuDLGfuDlFZgJ62
8/8/2021,Skills,English Comms,5.08,hhANBj74wiclvfuDLGfuDlFZgJ62
8/8/2021,Self Development,Exercise,0,hhANBj74wiclvfuDLGfuDlFZgJ62
8/8/2021,Skills,Programming,88.24,hhANBj74wiclvfuDLGfuDlFZgJ62
