date,education,skill,entertainment,selfDevelopment,sleep,currentLoggedInUser
01/10/2021,0.00,183.83,154.00,288.93,375.00,hhANBj74wiclvfuDLGfuDlFZgJ62
02/10/2021,0.00,117.23,297.00,39.10,365.25,hhANBj74wiclvfuDLGfuDlFZgJ62
03/10/2021,0.00,0.00,427.00,0.00,490.00,hhANBj74wiclvfuDLGfuDlFZgJ62
04/10/2021,0.00,87.05,398.87,105.07,541.97,hhANBj74wiclvfuDLGfuDlFZgJ62
05/10/2021,0.00,115.38,445.00,79.95,378.13,hhANBj74wiclvfuDLGfuDlFZgJ62
06/10/2021,0.00,223.37,52.00,112.58,434.32,hhANBj74wiclvfuDLGfuDlFZgJ62
07/10/2021,0.00,133.90,544.00,68.17,417.35,hhANBj74wiclvfuDLGfuDlFZgJ62
08/10/2021,266.42,108.50,394.00,80.17,381.33,hhANBj74wiclvfuDLGfuDlFZgJ62
09/10/2021,0.00,0.00,689.00,0.00,471.62,hhANBj74wiclvfuDLGfuDlFZgJ62
10/10/2021,0.00,242.85,286.20,130.45,428.90,hhANBj74wiclvfuDLGfuDlFZgJ62
11/10/2021,0.00,47.35,56.00,123.13,362.67,hhANBj74wiclvfuDLGfuDlFZgJ62
12/10/2021,0.00,0.00,445.00,111.22,490.05,hhANBj74wiclvfuDLGfuDlFZgJ62
13/10/2021,0.00,78.63,339.00,120.22,388.75,hhANBj74wiclvfuDLGfuDlFZgJ62
14/10/2021,270.48,307.02,23.00,148.78,372.48,hhANBj74wiclvfuDLGfuDlFZgJ62
15/10/2021,118.05,214.22,102.00,166.42,341.17,hhANBj74wiclvfuDLGfuDlFZgJ62
16/10/2021,136.23,62.13,110.00,105.02,372.98,hhANBj74wiclvfuDLGfuDlFZgJ62
17/10/2021,32.52,161.50,205.33,92.90,464.58,hhANBj74wiclvfuDLGfuDlFZgJ62
18/10/2021,279.47,126.30,366.00,61.25,356.92,hhANBj74wiclvfuDLGfuDlFZgJ62
19/10/2021,0.00,156.57,634.00,18.00,412.97,hhANBj74wiclvfuDLGfuDlFZgJ62
20/10/2021,64.27,360.05,180.00,88.78,380.15,hhANBj74wiclvfuDLGfuDlFZgJ62
