date,mainCategoryName,subcategoryName,timeRecorded,timeSpent,currentLoggedInUser
2021-07-14,Skills,English Comms,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-14,Skills,Programming,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-14,Self Development,Reading,N/A,60.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-14,Entertainment,SM/Anime/MM,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-14,Sleep,Sleep,N/A,426.2859459408905,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-14,Education,Studied/Revised,N/A,483.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-15,Skills,English Comms,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-15,Skills,Programming,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-15,Self Development,Reading,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-15,Entertainment,SM/Anime/MM,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-15,Sleep,Sleep,N/A,426.74085952113745,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-15,Education,Studied/Revised,N/A,543.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-16,Skills,English Comms,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-16,Skills,Programming,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-16,Self Development,Reading,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-16,Entertainment,SM/Anime/MM,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-16,Sleep,Sleep,N/A,427.3766372989152,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-16,Education,Studied/Revised,N/A,554.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-17,Skills,English Comms,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-17,Skills,Programming,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-17,Self Development,Reading,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-17,Entertainment,SM/Anime/MM,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-17,Sleep,Sleep,N/A,426.77719285447074,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-17,Education,Studied/Revised,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-18,Skills,English Comms,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-18,Skills,Programming,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-18,Self Development,Reading,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-18,Entertainment,SM/Anime/MM,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-18,Sleep,Sleep,N/A,427.7153039655819,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-18,Education,Studied/Revised,N/A,335.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-19,Skills,English Comms,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-19,Skills,Programming,N/A,60.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-19,Self Development,Reading,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-19,Entertainment,SM/Anime/MM,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-19,Sleep,Sleep,N/A,426.8456743359522,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-19,Education,Studied/Revised,N/A,416.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-20,Skills,English Comms,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-20,Skills,Programming,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-20,Self Development,Reading,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-20,Entertainment,SM/Anime/MM,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-20,Sleep,Sleep,N/A,428.28945211373,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-20,Education,Studied/Revised,N/A,424.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-21,Skills,English Comms,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-21,Skills,Programming,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-21,Self Development,Reading,N/A,30.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-21,Entertainment,SM/Anime/MM,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-21,Sleep,Sleep,N/A,427.6855632248411,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-21,Education,Studied/Revised,N/A,468.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-22,Skills,English Comms,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-22,Skills,Programming,N/A,39.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-22,Self Development,Reading,N/A,60.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-22,Entertainment,SM/Anime/MM,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-22,Sleep,Sleep,N/A,426.83571137298924,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-22,Education,Studied/Revised,N/A,305.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-23,Skills,English Comms,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-23,Skills,Programming,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-23,Self Development,Reading,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-23,Entertainment,SM/Anime/MM,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-23,Sleep,Sleep,N/A,428.09130396558174,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-23,Education,Studied/Revised,N/A,398.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-24,Skills,English Comms,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-24,Skills,Programming,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-24,Self Development,Reading,N/A,10.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-24,Entertainment,SM/Anime/MM,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-24,Sleep,Sleep,N/A,428.61030396558175,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-24,Education,Studied/Revised,N/A,220.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-25,Skills,English Comms,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-25,Skills,Programming,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-25,Self Development,Reading,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-25,Entertainment,SM/Anime/MM,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-25,Sleep,Sleep,N/A,427.956600261878,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-25,Education,Studied/Revised,N/A,208.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-26,Skills,English Comms,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-26,Skills,Programming,N/A,42.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-26,Self Development,Reading,N/A,76.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-26,Entertainment,SM/Anime/MM,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-26,Sleep,Sleep,N/A,428.5104891507669,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-26,Education,Studied/Revised,N/A,472.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-27,Skills,English Comms,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-27,Skills,Programming,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-27,Self Development,Reading,N/A,27.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-27,Entertainment,SM/Anime/MM,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-27,Sleep,Sleep,N/A,429.40215581743365,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-27,Education,Studied/Revised,N/A,424.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-28,Skills,English Comms,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-28,Skills,Programming,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-28,Self Development,Reading,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-28,Entertainment,SM/Anime/MM,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-28,Sleep,Sleep,N/A,429.46252618780403,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-28,Education,Studied/Revised,N/A,342.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-29,Skills,English Comms,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-29,Skills,Programming,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-29,Self Development,Reading,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-29,Entertainment,SM/Anime/MM,N/A,48.52,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-29,Sleep,Sleep,N/A,430.04894594089046,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-29,Education,Studied/Revised,N/A,387.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-30,Skills,English Comms,N/A,100.19,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-30,Skills,Programming,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-30,Self Development,Reading,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
